"Subject" "Emotion" "Memory" "Test.Tag"
"201" 11 "Fear" "Fear\Female\FF_0.png" "Fear\Female\FF_1.png"
"202" 11 "Happy" "Happiness\Male\HM_3.png" "Happiness\Male\HM_4.png"
"203" 11 "Anger" "Anger\Female\AF_7.png" "Anger\Female\AF_7.png"
"204" 11 "Fear" "Fear\Female\FF_0.png" "Fear\Female\FF_1.png"
"205" 11 "Happy" "Happiness\Female\HF_3.png" "Happiness\Female\HF_3.png"
"206" 11 "Happy" "Happiness\Male\HM_4.png" "Happiness\Male\HM_3.png"
"207" 11 "Fear" "Fear\Male\FM_4.png" "Fear\Male\FM_4.png"
"208" 11 "Happy" "Happiness\Male\HM_5.png" "Happiness\Male\HM_4.png"
"209" 11 "Anger" "Anger\Male\AM_1.png" "Anger\Male\AM_2.png"
"210" 11 "Happy" "Happiness\Female\HF_2.png" "Happiness\Female\HF_4.png"
"211" 11 "Happy" "Happiness\Male\HM_5.png" "Happiness\Male\HM_4.png"
"212" 11 "Happy" "Happiness\Female\HF_0.png" "Happiness\Female\HF_0.png"
"213" 11 "Happy" "Happiness\Male\HM_7.png" "Happiness\Male\HM_7.png"
"214" 11 "Anger" "Anger\Female\AF_3.png" "Anger\Female\AF_4.png"
"215" 11 "Anger" "Anger\Male\AM_5.png" "Anger\Male\AM_4.png"
"216" 11 "Happy" "Happiness\Female\HF_4.png" "Happiness\Female\HF_5.png"
"217" 11 "Anger" "Anger\Male\AM_5.png" "Anger\Male\AM_4.png"
"218" 11 "Anger" "Anger\Female\AF_0.png" "Anger\Female\AF_0.png"
"219" 11 "Fear" "Fear\Male\FM_6.png" "Fear\Male\FM_4.png"
"220" 11 "Anger" "Anger\Female\AF_5.png" "Anger\Female\AF_7.png"
"221" 11 "Anger" "Anger\Female\AF_1.png" "Anger\Female\AF_1.png"
"222" 11 "Fear" "Fear\Female\FF_5.png" "Fear\Female\FF_4.png"
"223" 11 "Fear" "Fear\Male\FM_2.png" "Fear\Male\FM_3.png"
"224" 11 "Fear" "Fear\Female\FF_3.png" "Fear\Female\FF_5.png"
"225" 11 "Anger" "Anger\Male\AM_0.png" "Anger\Male\AM_0.png"
"226" 11 "Anger" "Anger\Male\AM_6.png" "Anger\Male\AM_6.png"
"227" 11 "Anger" "Anger\Female\AF_3.png" "Anger\Female\AF_6.png"
"228" 11 "Happy" "Happiness\Female\HF_6.png" "Happiness\Female\HF_6.png"
"229" 11 "Happy" "Happiness\Male\HM_3.png" "Happiness\Male\HM_5.png"
"230" 11 "Fear" "Fear\Male\FM_5.png" "Fear\Male\FM_7.png"
"231" 11 "Happy" "Happiness\Female\HF_1.png" "Happiness\Female\HF_1.png"
"232" 11 "Anger" "Anger\Male\AM_3.png" "Anger\Male\AM_3.png"
"233" 11 "Anger" "Anger\Female\AF_0.png" "Anger\Female\AF_0.png"
"234" 11 "Fear" "Fear\Male\FM_3.png" "Fear\Male\FM_1.png"
"235" 11 "Happy" "Happiness\Female\HF_3.png" "Happiness\Female\HF_3.png"
"236" 11 "Fear" "Fear\Male\FM_0.png" "Fear\Male\FM_0.png"
"237" 11 "Anger" "Anger\Male\AM_4.png" "Anger\Male\AM_5.png"
"238" 11 "Happy" "Happiness\Female\HF_2.png" "Happiness\Female\HF_2.png"
"239" 11 "Fear" "Fear\Male\FM_1.png" "Fear\Male\FM_1.png"
"240" 11 "Happy" "Happiness\Female\HF_1.png" "Happiness\Female\HF_1.png"
"241" 11 "Fear" "Fear\Female\FF_6.png" "Fear\Female\FF_4.png"
"242" 11 "Anger" "Anger\Female\AF_4.png" "Anger\Female\AF_4.png"
"243" 11 "Fear" "Fear\Male\FM_3.png" "Fear\Male\FM_3.png"
"244" 11 "Fear" "Fear\Female\FF_4.png" "Fear\Female\FF_4.png"
"245" 11 "Anger" "Anger\Male\AM_7.png" "Anger\Male\AM_7.png"
"246" 11 "Anger" "Anger\Male\AM_4.png" "Anger\Male\AM_4.png"
"247" 11 "Happy" "Happiness\Female\HF_5.png" "Happiness\Female\HF_6.png"
"248" 11 "Anger" "Anger\Male\AM_6.png" "Anger\Male\AM_5.png"
"249" 11 "Happy" "Happiness\Male\HM_0.png" "Happiness\Male\HM_0.png"
"250" 11 "Happy" "Happiness\Male\HM_1.png" "Happiness\Male\HM_1.png"
"251" 11 "Fear" "Fear\Male\FM_1.png" "Fear\Male\FM_1.png"
"252" 11 "Anger" "Anger\Male\AM_2.png" "Anger\Male\AM_2.png"
"253" 11 "Anger" "Anger\Female\AF_4.png" "Anger\Female\AF_5.png"
"254" 11 "Anger" "Anger\Female\AF_6.png" "Anger\Female\AF_6.png"
"255" 11 "Anger" "Anger\Male\AM_2.png" "Anger\Male\AM_2.png"
"256" 11 "Fear" "Fear\Male\FM_7.png" "Fear\Male\FM_4.png"
"257" 11 "Fear" "Fear\Female\FF_6.png" "Fear\Female\FF_5.png"
"258" 11 "Fear" "Fear\Male\FM_5.png" "Fear\Male\FM_6.png"
"259" 11 "Fear" "Fear\Female\FF_2.png" "Fear\Female\FF_3.png"
"260" 11 "Happy" "Happiness\Male\HM_6.png" "Happiness\Male\HM_6.png"
"261" 11 "Happy" "Happiness\Male\HM_2.png" "Happiness\Male\HM_3.png"
"262" 11 "Happy" "Happiness\Male\HM_0.png" "Happiness\Male\HM_0.png"
"263" 11 "Anger" "Anger\Female\AF_2.png" "Anger\Female\AF_3.png"
"264" 11 "Fear" "Fear\Male\FM_0.png" "Fear\Male\FM_0.png"
"265" 11 "Fear" "Fear\Female\FF_4.png" "Fear\Female\FF_4.png"
"266" 11 "Fear" "Fear\Female\FF_7.png" "Fear\Female\FF_7.png"
"267" 11 "Happy" "Happiness\Male\HM_6.png" "Happiness\Male\HM_6.png"
"268" 11 "Anger" "Anger\Male\AM_0.png" "Anger\Male\AM_0.png"
"269" 11 "Fear" "Fear\Male\FM_4.png" "Fear\Male\FM_6.png"
"270" 11 "Anger" "Anger\Male\AM_3.png" "Anger\Male\AM_3.png"
"271" 11 "Happy" "Happiness\Male\HM_1.png" "Happiness\Male\HM_1.png"
"272" 11 "Anger" "Anger\Female\AF_6.png" "Anger\Female\AF_7.png"
"273" 11 "Anger" "Anger\Male\AM_1.png" "Anger\Male\AM_1.png"
"274" 11 "Anger" "Anger\Female\AF_2.png" "Anger\Female\AF_4.png"
"275" 11 "Anger" "Anger\Female\AF_1.png" "Anger\Female\AF_1.png"
"276" 11 "Happy" "Happiness\Female\HF_4.png" "Happiness\Female\HF_5.png"
"277" 11 "Anger" "Anger\Male\AM_7.png" "Anger\Male\AM_7.png"
"278" 11 "Happy" "Happiness\Female\HF_5.png" "Happiness\Female\HF_6.png"
"279" 11 "Fear" "Fear\Female\FF_3.png" "Fear\Female\FF_3.png"
"280" 11 "Fear" "Fear\Male\FM_2.png" "Fear\Male\FM_1.png"
"281" 11 "Fear" "Fear\Female\FF_1.png" "Fear\Female\FF_3.png"
"282" 11 "Anger" "Anger\Female\AF_5.png" "Anger\Female\AF_5.png"
"283" 11 "Fear" "Fear\Female\FF_2.png" "Fear\Female\FF_2.png"
"284" 11 "Happy" "Happiness\Female\HF_6.png" "Happiness\Female\HF_7.png"
"285" 11 "Happy" "Happiness\Female\HF_7.png" "Happiness\Female\HF_6.png"
"286" 11 "Fear" "Fear\Male\FM_6.png" "Fear\Male\FM_5.png"
"287" 11 "Fear" "Fear\Female\FF_1.png" "Fear\Female\FF_3.png"
"288" 11 "Anger" "Anger\Female\AF_7.png" "Anger\Female\AF_6.png"
"289" 12 "Fear" "Fear\Male\FM_6.png" "Fear\Male\FM_2.png"
"290" 12 "Happy" "Happiness\Female\HF_6.png" "Happiness\Female\HF_5.png"
"291" 12 "Fear" "Fear\Male\FM_0.png" "Fear\Male\FM_2.png"
"292" 12 "Anger" "Anger\Female\AF_4.png" "Anger\Female\AF_4.png"
"293" 12 "Fear" "Fear\Female\FF_2.png" "Fear\Female\FF_4.png"
"294" 12 "Anger" "Anger\Male\AM_4.png" "Anger\Male\AM_5.png"
"295" 12 "Anger" "Anger\Male\AM_1.png" "Anger\Male\AM_3.png"
"296" 12 "Fear" "Fear\Male\FM_4.png" "Fear\Male\FM_4.png"
"297" 12 "Anger" "Anger\Female\AF_5.png" "Anger\Female\AF_5.png"
"298" 12 "Happy" "Happiness\Female\HF_1.png" "Happiness\Female\HF_1.png"
"299" 12 "Anger" "Anger\Male\AM_0.png" "Anger\Male\AM_0.png"
